ticker,cik
AADI,1422142
ABBV,1551152
ABCL,1703057
ABEO,0318306
ABIO,0907654
ABOS,1576885
ABUS,1447028
ABVC,1173313
ACAD,1070494
ACER,1069308
ACET,1720580
ACHL,1830749
ACHV,0949858
ACIU,1651625
ACLX,1786205
ACOR,1008848
ACRS,1557746
ACRV,1781174
ACRX,1427925
ACST,1444192
ACXP,1736243
ADAG,1818838
ADAP,1621227
ADCT,1771910
ADIL,1513525
ADMA,1368514
ADPT,1478320
ADTX,1726711
ADVM,1501756
ADXS,1100397
AEZS,1113423
AFMD,1608390
AGEN,1098972
AGIO,1439222
AGLE,1636282
AGRX,1261249
AIM,0946644
AIMD,1014763
AKBA,1517022
AKRO,1744659
AKTX,1541157
ALDX,1341235
ALEC,1653087
ALGS,1799448
ALIM,1267602
ALKS,1520262
ALLK,1564824
ALLO,1737287
ALLR,1860657
ALNY,1178670
ALPN,1626199
ALRN,1420565
ALT,1326190
ALVO,1898416
ALVR,1754068
ALXO,1810182
ALZN,1677077
AMAM,1990550
AMGN,0318154
AMLX,1658551
AMPE,1411906
AMPH,1297184
AMRN,0897448
AMRX,1723128
AMTI,1801777
ANAB,1370053
ANEB,1815974
ANIK,0898437
ANIP,1023024
ANIX,0715446
ANNX,1528115
ANTX,1880438
ANVS,1477845
APLS,1492422
APLT,1697532
APM,1734005
APRE,1781983
APTO,0882361
APTX,1674365
APVO,1671584
AQST,1398733
ARAV,1513818
ARCT,1768224
ARDS,1614067
ARDX,1437402
ARGX,1697862
ARMP,0921114
ARQT,1787306
ARTL,1621221
ARVN,1655759
ARWR,0879407
ASLN,1722926
ASMB,1426800
ASND,1612042
ASRT,1808665
ATAI,1840904
ATHA,1620463
ATHE,1131343
ATHX,1368148
ATNF,1690080
ATNM,1388320
ATOS,1488039
ATRA,1604464
ATXI,1644963
ATXS,1454789
AUPH,1600620
AURA,1501796
AUTL,1730463
AVDL,1012477
AVIR,1593899
AVRO,1681087
AVTX,1534120
AVXL,1314052
AXGN,0805928
AXLA,1633070
AXSM,1579428
AYTU,1385818
AZN,0901832
BBIO,1743881
BCAB,1826892
BCDA,0925741
BCEL,1532346
BCLI,1137883
BCRX,0882796
BCTX,1610820
BCYC,1761612
BDRX,1643918
BDTX,1701541
BFRI,1858685
BGNE,1651308
BHC,0885590
BHVN,1935979
BIIB,0875045
BIOR,1580063
BIVI,1580149
BLCM,1358403
BLCO,1860742
BLPH,1600132
BLRX,1498403
BLTE,1889109
BLUE,1293971
BMEA,1840439
BMRN,1048477
BMY,0014272
BNOX,1191070
BNTC,1808898
BNTX,1776985
BOLT,1641281
BPMC,1597264
BPTH,1133818
BPTS,1768946
BSGM,1530766
BTAI,1720893
BXRX,1780097
BYSI,1677940
CABA,1759138
CADL,1841387
CALA,1496671
CALC,1534133
CALT,1795579
CANF,1536196
CAPR,1133869
CARA,1346830
CASI,1962738
CBAY,1042074
CCCC,1662579
CDTX,1610618
CDXS,1200375
CELC,1603454
CERE,1805387
CERS,1020214
CFRX,1478069
CGEM,1789972
CGEN,1119774
CGTX,1455365
CHRS,1512762
CING,1862150
CKPT,1651407
CLDX,0744218
CLLS,1627281
CLNN,1822791
CLRB,1279704
CLSD,1539029
CMMB,1534248
CMPS,1816590
CMPX,1738021
CMRX,1117480
CNSP,1729427
CNTA,1847903
CNTB,1835268
CNTX,1842952
COCP,1412486
COGT,1622229
COLL,1267565
CORT,1088856
COYA,1835022
CPIX,1087294
CPRX,1369568
CRBP,1595097
CRBU,1619856
CRDF,1213037
CRIS,1108205
CRMD,1410098
CRNX,1658247
CRSP,1674416
CRVS,1626971
CTMX,1501989
CTXR,1506251
CUE,1645460
CVAC,1809122
CVM,0725363
CWBR,1522602
CYBN,1833141
CYCC,1130166
CYCN,1755237
CYDY,1175680
CYT,1662244
CYTH,0922247
CYTK,1061983
CYTO,1601936
DARE,1401914
DAWN,1845337
DBVT,1613780
DCPH,1654151
DCTH,0872912
DERM,1867066
DMAC,1401040
DNLI,1714899
DRMA,1853816
DRRX,1082038
DRUG,1827401
DSGN,1807120
DTIL,1357874
DVAX,1029142
DYAI,1213809
DYN,1818794
EBS,1367644
EDAP,1041934
EDIT,1650664
EDSA,1540159
EFTR,1828522
EGRX,0827871
EIGR,1305253
ELDN,1404281
ELEV,1783032
ELOX,1035354
ELTX,1601485
ENLV,1596812
ENSC,1716947
ENTA,1177648
ENTX,1638097
EOLS,1570562
EPIX,1633932
EQ,1746466
EQRX,1843762
ERAS,1761918
ESPR,1434868
ETNB,1785173
ETON,1710340
EVAX,1828253
EVFM,1618835
EVLO,1694665
EVO,1412558
EVOK,1403708
EWTX,1710072
EXAI,1865408
EXEL,0939767
EYEN,1682639
EYPT,1314102
FATE,1434316
FBIO,1429260
FBRX,1419041
FDMT,1650648
FENC,1211583
FGEN,0921299
FHTX,1822462
FIXX,1661998
FLGT,1674930
FNCH,1733257
FOLD,1178879
FREQ,1703647
FRLN,1810031
FRTX,0819050
FULC,1680581
FUSN,1805890
FWBI,1604191
GALT,1133416
GANX,1819411
GERN,0886744
GHRS,1855129
GILD,0882095
GKOS,1192448
GLMD,1595353
GLPG,1421876
GLSI,1799788
GLTO,1800315
GLUE,1826457
GLYC,1253689
GMAB,1434265
GMDA,1600847
GNFT,1757064
GNLX,1231457
GNPX,1595248
GOSS,1728117
GOVX,0832489
GPCR,1888886
GRCL,1826492
GRTS,1656634
GRTX,1563577
GSK,1131399
GTHX,1560241
HALO,1159036
HARP,1708493
HCM,1648257
HEPA,1583771
HGEN,1293310
HLVX,1888012
HOOK,1760542
HOTH,1711786
HOWL,1785530
HRMY,1802665
HRTX,0818033
IBRX,1326110
ICPT,1270073
ICVX,1786255
IDYA,1676725
IFRX,1708688
IGMS,1496323
IGXT,1098880
IKNA,1835579
IKT,1750149
IMAB,1778016
IMCR,1671927
IMGN,0855654
IMMP,1506184
IMMX,1873835
IMNN,0749647
IMPL,1445499
IMRX,1790340
IMTX,1809196
IMUX,1280776
IMVIQ,1734768
IMVT,1764013
INAB,1740279
INBX,1739614
INCY,0879169
INDP,1857044
INDV,1625297
INKT,1840229
INM,1728328
INMB,1711754
INO,1055726
INSM,1104506
INTS,1567264
INVA,1080014
INZY,1693011
IOBT,1865494
IONS,0874015
IOVA,1425205
IPHA,1598599
IPSC,1850119
IRON,1816736
IRWD,1446847
ITCI,1567514
ITOS,1808865
ITRM,1659323
IVA,1756594
IVVD,1832038
IXHL,1873875
JAGX,1585608
JANX,1817713
JAZZ,1232524
JNJ,0200406
JSPR,1788028
KA,1445283
KALA,1479419
KALV,1348911
KMDA,1567529
KNSA,1730430
KNTE,1797768
KOD,1468748
KPRX,1372514
KPTI,1503802
KRON,1741830
KROS,1664710
KRTX,1771917
KRYS,1711279
KTRA,1498382
KURA,1422143
KYMR,1815442
KZIA,1075880
KZR,1645666
LABP,1785345
LBPH,1832168
LCTX,0876343
LEGN,1801198
LEXX,1348362
LGND,0886163
LGVN,1721484
LIAN,1831283
LIFE,1339970
LIPO,1347242
LLY,0059478
LNTH,1521036
LPCN,1535955
LPTX,1509745
LQDA,1819576
LRMR,1374690
LSTA,0320017
LUMO,1126234
LVTX,1840748
LXRX,1062822
LYRA,1327273
MACK,1274792
MAIA,1878313
MBIO,1680048
MBRX,1659617
MCRB,1609809
MDGL,1157601
MDWD,1593984
MEIP,1262104
MESO,1345099
MGNX,1125345
MGTX,1735438
MIRM,1759425
MIST,1408443
MLTX,1821586
MLYS,1933414
MMM,0066740
MNKD,0899460
MNMD,1813814
MNOV,1226616
MNPR,1645469
MOLN,1745114
MOR,1340243
MORF,1679363
MREO,1719714
MRK,0310158
MRKR,1094038
MRNA,1682852
MRNS,1267813
MRSN,1442836
MRTX,1576263
MRUS,1651311
MTEM,1183765
MTNB,1582554
MYMD,1321834
NAMS,1936258
NAVB,0810509
NBIX,0914475
NBTX,1760854
NCNA,1709626
NERV,1598646
NEXI,1538210
NGM,1426332
NKTR,0906709
NKTX,1787400
NLSP,1783036
NRBO,1638287
NRIX,1549595
NRSN,1875091
NRXP,1719406
NTLA,1652130
NUVL,1861560
NVAX,1000694
NVCR,1645113
NVCT,1875558
NVIV,1292519
NVO,0353278
NVS,1114448
NVTA,1501134
NWBO,1072379
NXTC,1661059
OCGN,1372299
OCS,1953530
OCUL,1393434
OCUP,1228627
OGEN,1174940
OKYO,1849296
OLMA,1750284
OMER,1285819
ONCT,1260990
ONCY,1129928
ONTX,1130598
OPK,0944809
OPT,1815620
OPTN,1494650
ORGS,1460602
ORIC,1796280
ORMP,1176309
ORTX,1748907
OTLK,1649989
OVID,1636651
PALI,1357459
PASG,1787297
PBLA,1029125
PBYI,1401667
PCRX,1396814
PCSA,1533743
PCVX,1649094
PDSB,1472091
PEPG,1835597
PFE,0078003
PGEN,1356090
PHAR,1828316
PHAT,1783183
PHGE,1739174
PHIO,1533040
PHVS,1830487
PIRS,1583648
PLRX,1746473
PLUR,1158780
PLX,1006281
PMCB,1157075
PMVP,1699382
PPBT,1614744
PRAX,1689548
PRFX,1801834
PRLD,1678660
PRQR,1612940
PRTA,1559053
PRTC,1782999
PSTV,1095981
PSTX,1661460
PTCT,1070081
PTGX,1377121
PTN,0911216
PTPI,1815903
PULM,1574235
PXMD,1811623
PYPD,1611842
QLGN,1460702
QNCX,1662774
QNRX,1671502
QSAM,1310527
QTRX,1503274
QURE,1590560
RAIN,1724979
RANI,1856725
RAPT,1673772
RARE,1515673
RCKT,1281895
RCUS,1724521
RDHL,1553846
REGN,0872589
REPL,1737953
REVB,1810560
RFL,1713863
RGEN,0730272
RGLS,1505512
RGNX,1590877
RIGL,1034842
RLAY,1812364
RLFTF,1854078
RLMD,1553643
RLYB,1739410
RMTI,1041024
RNA,1599901
RNAZ,1829635
RNXT,1574094
ROIV,1635088
RPTX,1808158
RUBY,1709401
RVMD,1628171
RVNC,1479290
RVPH,1742927
RXRX,1601830
RYTM,1649904
RYZB,1825367
RZLT,1509261
SABS,1833214
SAGE,1597553
SAVA,1069530
SCLX,1820190
SCNI,1611747
SCPH,1604950
SCYX,1178253
SDGR,1490978
SEEL,1017491
SELB,1453687
SGEN,1060736
SGMO,1001233
SIGA,1010086
SIOX,1636050
SLDB,1707502
SLGL,1684693
SLN,1479615
SLNO,1484565
SLRN,1962918
SLRX,1615219
SLS,1390478
SMMT,1599298
SNDX,1395937
SNGX,0812796
SNPX,1571934
SNSE,1829802
SNY,1121404
SONN,1106838
SPRB,1683553
SPRC,1611746
SPRO,1701108
SPRY,1671858
SRPT,0873303
SRRK,1727196
STOK,1623526
STRO,1382101
STTK,1680367
SUPN,1356576
SVRA,1160308
SWTX,1773427
SXTP,1946563
SYBX,1527599
SYRS,1556263
TAK,1395064
TARA,1359931
TARS,1819790
TBPH,1583107
TCON,1394319
TCRT,1107421
TCRX,1783328
TENX,0034956
TERN,1831363
TEVA,0818686
TFFP,1733413
TGTX,1001316
THRX,1745020
TIL,1789769
TLSA,1723069
TMBR,1504167
TNGX,1819133
TNXP,1430306
TNYA,1858848
TOVX,0894158
TPST,1544227
TRDA,1689375
TRVI,1563880
TRVN,1429560
TSHA,1806310
TSVT,1860782
TTNP,0910267
TVTX,1438533
TXMD,0025743
TYRA,1863127
UBX,1463361
UNCY,1766140
URGN,1668243
UTHR,1082554
VACC,1828185
VALN,1836564
VAXX,1851657
VBIV,0764195
VCEL,0887359
VCNX,1205922
VCYT,1384101
VERA,1831828
VERU,0863894
VIGL,1827087
VINC,1796129
VIR,1706431
VIRI,1818844
VIRX,1061027
VKTX,1607678
VNDA,1347178
VOR,1817229
VRCA,1660334
VRDN,1590750
VRNA,1657312
VRTX,0875320
VSTM,1526119
VTGN,1411685
VTRS,1792044
VTVT,1641489
VTYX,1851194
VXRT,0072444
VYGR,1640266
VYNE,1566044
WINT,0946486
WVE,1631574
XAIR,1641631
XBIO,1534525
XBIT,1626878
XCUR,1698530
XENE,1582313
XERS,1867096
XFOR,1501697
XLO,1840233
XNCR,1326732
XOMA,0791908
YMAB,1722964
YS,1946399
ZLAB,1704292
ZNTL,1725160
ZURA,1855644
ZVRA,1434647
ZYME,1937653
